split,model,residual_mean,residual_std,mean_signed_error,bias_pct
test,XGBoost_ONNX,-66.32474897407502,423.68771214463396,66.32474897407502,0.44284096640303267
test,LSTM_ONNX,9.216789525456003,422.67477469069183,-9.216789525456003,0.014848052857610301
test,Persistence_lag1h,0.438125759944415,726.0267515744994,-0.438125759944415,0.08189363627528466
train,XGBoost_ONNX,-24.700168905575214,276.0171434725421,24.700168905575214,0.18670187657373738
train,LSTM_ONNX,2.891381382467921,191.60817231722575,-2.891381382467921,1.6044666684022e-05
train,Persistence_lag1h,0.19611295186329647,449.82647867941455,-0.19611295186329647,0.044966457534973865
validation,XGBoost_ONNX,-49.9050426253583,319.2574893598658,49.9050426253583,0.29571028824309814
validation,LSTM_ONNX,13.043173669980863,319.82492849651305,-13.043173669980863,-0.04543861759864602
validation,Persistence_lag1h,0.48096594857539937,514.148045564223,-0.48096594857539937,0.04147848769342734
