split,model,n_samples,mae,rmse,mape_pct,smape_pct,r2,nrmse,peak_mape_pct_top10,peak_mae_top10,top5_mape_pct,residual_mean,residual_std,mean_signed_error,bias_pct,peak_underprediction_rate_pct,low_overprediction_rate_pct,pearson_corr,spearman_rank_corr,peak_count_top10,peak_count_top5
test,XGBoost_ONNX,5757,311.34864822173006,428.8475833543058,1.7962386649278503,1.7888667538933207,0.9717973038323984,0.027034575791124706,1.6655683489864797,364.3376370233969,2.0134684509532232,-66.32474897407502,423.68771214463396,66.32474897407502,0.3812754999739866,71.40381282495667,72.56944444444444,0.9861417317796922,0.9865055258465575,577,288
test,LSTM_ONNX,5757,299.1510597490141,422.7752527868485,1.6823355965286735,1.687349749197914,0.9725903297822719,0.0266517757303883,1.994033916112989,433.36804604715235,2.320532021364245,9.216789525456003,422.67477469069183,-9.216789525456003,-0.052983781903899005,61.69844020797227,73.78472222222221,0.9862222065334703,0.9852368462341095,577,288
test,Persistence_lag1h,5757,557.3970210178913,726.0268837694658,3.168737248390955,3.1858691271358373,0.919166739076563,0.045768775615189994,3.1177929473317807,676.5041421143848,3.4998153923193263,0.438125759944415,726.0267515744994,-0.438125759944415,-0.0025186166666018553,59.27209705372617,72.48263888888889,0.9595802814990417,0.9557994589183975,577,288
train,XGBoost_ONNX,26861,205.8086673472053,277.12012167055974,1.4573331481421619,1.452701470805042,0.9854440252637711,0.01785994729864934,1.076439126411379,196.59969383838853,0.688490338346269,-24.700168905575214,276.0171434725421,24.700168905575214,0.17039743837861374,35.9136583550428,60.95291271170669,0.9928558167560233,0.9936302823741782,2687,1344
train,LSTM_ONNX,26861,132.43529139532373,191.62998665408958,0.911031945117036,0.9104436798811245,0.99303963347262,0.012350245236077025,0.9075176486358061,167.8678663093364,0.9225403171613453,2.891381382467921,191.60817231722575,-2.891381382467921,-0.019946583476072588,59.91812430219575,52.22408337986227,0.9965155978445903,0.9964057295226532,2687,1344
train,Persistence_lag1h,26861,340.05500130300436,449.8265214295526,2.335236086518528,2.337446033226034,0.9616473580365837,0.028990597715662224,2.2919489574971394,423.71671752884254,2.2700697420345843,0.19611295186329647,449.82647867941455,-0.19611295186329647,-0.0013529115836463503,55.74990695943431,60.52484645449469,0.9808255548132472,0.9790785760212892,2687,1344
validation,XGBoost_ONNX,5756,218.26551865037567,323.13442681305816,1.3137568336999537,1.3066059783534016,0.9756153391087548,0.023966027404324713,0.6674752355885246,139.25408949110232,0.6543774425129845,-49.9050426253583,319.2574893598658,49.9050426253583,0.29306887437456475,61.63194444444444,52.69097222222222,0.9882828793749387,0.988901533450093,576,288
validation,LSTM_ONNX,5756,197.74060197812446,320.0907828525916,1.1553682905077745,1.1550385708966997,0.976072540101906,0.023740288366596772,1.275066248674593,265.66291646942904,1.2009886252610775,13.043173669980863,319.82492849651305,-13.043173669980863,-0.07659643243728834,60.9375,55.46875,0.987986551736253,0.9881227886892904,576,288
validation,Persistence_lag1h,5756,395.31553856845034,514.148270526853,2.294846838429719,2.2971714367474103,0.9382656303124732,0.03813301994114472,2.5779970252701565,536.9959548611109,2.462018187801276,0.48096594857539937,514.148045564223,-0.48096594857539937,-0.002824487100825817,55.729166666666664,61.197916666666664,0.9691367836230919,0.9672437632786955,576,288
