split,model,slice_type,slice_value,mae,rmse,mape_pct
test,XGBoost_ONNX,year,2023,261.56984210234,358.8883314681422,1.600007616813767
test,XGBoost_ONNX,year,2024,340.148560728424,464.5365726543201,1.9097696524575232
test,XGBoost_ONNX,season,post_monsoon,193.91149876644732,253.2696731468232,1.0714453192112212
test,XGBoost_ONNX,season,summer,372.32630653177387,513.4012715580604,2.0363504088604576
test,XGBoost_ONNX,season,winter,291.13057200198,387.3029253961104,1.7749886244573538
test,XGBoost_ONNX,weekday_weekend,weekday,312.36524427083333,432.77621075162574,1.7974793490121594
test,XGBoost_ONNX,weekday_weekend,weekend,308.77912695791207,418.75340747793825,1.7931027446779884
test,XGBoost_ONNX,day_night,daytime,362.52222265624994,475.7948830364199,2.0115514267509575
test,XGBoost_ONNX,day_night,nighttime,239.61597817584484,352.67138238287055,1.494423529456161
test,LSTM_ONNX,year,2023,233.32770443062049,314.41508555851,1.390688251115495
test,LSTM_ONNX,year,2024,337.2336700374184,474.29453042590404,1.8510704193479235
test,LSTM_ONNX,season,post_monsoon,230.2000096628909,299.0841052719836,1.2500793110970807
test,LSTM_ONNX,season,summer,373.61019695841134,524.9712202521945,2.00324616298114
test,LSTM_ONNX,season,winter,257.90142563554855,353.5420459415726,1.5346041709874247
test,LSTM_ONNX,weekday_weekend,weekday,302.32571463484135,430.5249219823217,1.6952709816860967
test,LSTM_ONNX,weekday_weekend,weekend,291.12688609457956,402.52278332996724,1.6496404594120235
test,LSTM_ONNX,day_night,daytime,359.6016522315587,489.1790749921749,1.9341890755988629
test,LSTM_ONNX,day_night,nighttime,214.4143093354348,306.3538024632212,1.3292994306230255
test,Persistence_lag1h,year,2023,520.4085260663508,676.8370995607794,3.0970083160223885
test,Persistence_lag1h,year,2024,578.797000274198,753.0201348538505,3.210236575864953
test,Persistence_lag1h,season,post_monsoon,464.9658204334366,568.8148610623012,2.521581679325771
test,Persistence_lag1h,season,summer,587.3955369279566,752.5047740728905,3.1502275568226086
test,Persistence_lag1h,season,winter,555.1600482093663,736.6451803063169,3.3267652741855303
test,Persistence_lag1h,weekday_weekend,weekday,558.8866933333333,730.549089597299,3.171241381833487
test,Persistence_lag1h,weekday_weekend,weekend,553.6317647058823,714.4690825949494,3.162407866987496
test,Persistence_lag1h,day_night,daytime,712.0208125,875.0954472609008,3.8917605366650045
test,Persistence_lag1h,day_night,nighttime,340.6527826449729,438.80407955178487,2.155237770459871
train,XGBoost_ONNX,year,2020,191.0678525775608,250.36104542885377,1.5756745546096023
train,XGBoost_ONNX,year,2021,198.31310475973888,268.20706917539377,1.3713347412895058
train,XGBoost_ONNX,year,2022,223.6140628879495,303.5255709876363,1.4191177114551619
train,XGBoost_ONNX,year,2023,244.06540749091158,327.9519955719198,1.5563078785414008
train,XGBoost_ONNX,season,monsoon,184.64377283953237,248.25204968331494,1.3778757070557204
train,XGBoost_ONNX,season,post_monsoon,192.58182440426188,259.6759341190869,1.2703637267346182
train,XGBoost_ONNX,season,summer,225.0115679853818,294.84039255191215,1.6058465963358213
train,XGBoost_ONNX,season,winter,205.9214854213548,283.37643077660516,1.4181941946018866
train,XGBoost_ONNX,weekday_weekend,weekday,207.50245036795852,279.6263767790036,1.463480796955414
train,XGBoost_ONNX,weekday_weekend,weekend,201.5784001439412,270.75938022489584,1.4419792351360434
train,XGBoost_ONNX,day_night,daytime,232.6605974398179,307.9873055306154,1.5869646223126241
train,XGBoost_ONNX,day_night,nighttime,168.23275516936968,226.98455633842354,1.2759301401605216
train,LSTM_ONNX,year,2020,103.71496447504092,147.9953968008912,0.8188383331269944
train,LSTM_ONNX,year,2021,134.51123166512372,194.26819703515773,0.9176237691590687
train,LSTM_ONNX,year,2022,156.04947467082303,221.89863975395363,0.9871522498159815
train,LSTM_ONNX,year,2023,152.0718900964511,210.04473585116267,0.971659677453632
train,LSTM_ONNX,season,monsoon,117.34277781729968,172.9137822353415,0.8524446479138927
train,LSTM_ONNX,season,post_monsoon,138.78770351756282,190.88171723982188,0.9221041304859157
train,LSTM_ONNX,season,summer,136.6076805808633,191.31840158345668,0.9257655687629442
train,LSTM_ONNX,season,winter,137.76486079974998,204.4658467674788,0.9364032702254435
train,LSTM_ONNX,weekday_weekend,weekday,134.7592212465213,195.77664496807242,0.9229682361244438
train,LSTM_ONNX,weekday_weekend,weekend,126.63121607295133,180.85883648069205,0.8812207474851239
train,LSTM_ONNX,day_night,daytime,157.42394546026253,220.21630122723542,1.0537225184648387
train,LSTM_ONNX,day_night,nighttime,97.46680058859474,142.29187869843375,0.7113543638694544
train,Persistence_lag1h,year,2020,293.9781520066296,387.01213553543613,2.298598114208056
train,Persistence_lag1h,year,2021,336.53816780821916,439.8430636749392,2.2937371649029954
train,Persistence_lag1h,year,2022,374.8066267123288,494.3451366261939,2.346551184462785
train,Persistence_lag1h,year,2023,469.3551901565996,611.6975413581285,2.9771726049379166
train,Persistence_lag1h,season,monsoon,266.04156853864737,335.3205502028325,1.9503360987516247
train,Persistence_lag1h,season,post_monsoon,308.7521370967742,388.81374159786526,2.023932836131049
train,Persistence_lag1h,season,summer,340.20246129326046,426.9614947064088,2.3058696599825392
train,Persistence_lag1h,season,winter,400.65989046741134,546.2696558291307,2.715060516029963
train,Persistence_lag1h,weekday_weekend,weekday,344.5984693185965,454.4855582427081,2.358317654382549
train,Persistence_lag1h,weekday_weekend,weekend,328.70757161458334,437.97404551616324,2.27758926969564
train,Persistence_lag1h,day_night,daytime,395.5647497765862,517.7315647158122,2.6225154561082586
train,Persistence_lag1h,day_night,nighttime,262.37606252791426,332.26808198710154,1.9332245988907728
validation,XGBoost_ONNX,year,2023,218.26551865037567,323.13442681305816,1.3137568336999537
validation,XGBoost_ONNX,season,monsoon,195.41567973703576,255.67313579536975,1.180880505626706
validation,XGBoost_ONNX,season,post_monsoon,207.3258091517859,257.960696539115,1.1681674321004354
validation,XGBoost_ONNX,season,summer,235.86695803449453,372.0031889253523,1.4214412944554267
validation,XGBoost_ONNX,season,winter,218.2416131615182,293.5020696812101,1.2991181223023638
validation,XGBoost_ONNX,weekday_weekend,weekday,218.31057136957446,336.15811581506875,1.3104330445725187
validation,XGBoost_ONNX,weekday_weekend,weekend,218.15167219573374,287.60790767097666,1.32215591848031
validation,XGBoost_ONNX,day_night,daytime,235.6231860700335,364.56853936367355,1.3988874633635764
validation,XGBoost_ONNX,day_night,nighttime,193.92421542414442,253.884133036617,1.1943749824187464
validation,LSTM_ONNX,year,2023,197.74060197812446,320.0907828525916,1.1553682905077745
validation,LSTM_ONNX,season,monsoon,204.84333357316214,290.1999699549094,1.1788387787014107
validation,LSTM_ONNX,season,post_monsoon,212.4550695473807,291.328536120742,1.19826971413487
validation,LSTM_ONNX,season,summer,202.99933510533722,359.5202924376582,1.1977277273605311
validation,LSTM_ONNX,season,winter,135.4371158093329,180.59203757576137,0.8104341745080101
validation,LSTM_ONNX,weekday_weekend,weekday,202.14597972612108,341.13643309145897,1.179183836302105
validation,LSTM_ONNX,weekday_weekend,weekend,186.60838516884868,259.4090059572366,1.0951873402284735
validation,LSTM_ONNX,day_night,daytime,220.04386292002812,371.4811038194882,1.2670189609306013
validation,LSTM_ONNX,day_night,nighttime,166.46390883755845,229.38810388338305,0.9987963987629085
validation,Persistence_lag1h,year,2023,395.31553856845034,514.148270526853,2.294846838429719
validation,Persistence_lag1h,season,monsoon,367.8546150362319,477.55288528039347,2.139892858010724
validation,Persistence_lag1h,season,post_monsoon,363.84948979591843,430.30144517938754,2.0545022892352596
validation,Persistence_lag1h,season,summer,420.3188285519126,547.8900503190646,2.4244799565364192
validation,Persistence_lag1h,season,winter,377.13116858237555,481.3721568402502,2.268269031475274
validation,Persistence_lag1h,weekday_weekend,weekday,403.4546508244423,530.6509512089032,2.336237099576705
validation,Persistence_lag1h,weekday_weekend,weekend,374.7483210784314,469.8708511229964,2.1902552716587813
validation,Persistence_lag1h,day_night,daytime,457.6587648809524,596.6854040866341,2.5960104502442625
validation,Persistence_lag1h,day_night,nighttime,307.8893113522538,368.47675217999875,1.8725138936480552
